RPerc,GPerc,BPerc,CPerc,Predictions
-15.73777778,-20.32333333,-22.95277778,-17.71777778,Not Infected
-17.05444444,-21.81166667,-22.98888889,-17.99222222,Not Infected
-17.045,-21.69,-22.99055556,-18.07555556,Not Infected
-16.51611111,-21.02611111,-22.94,-17.98,Not Infected
-16.53222222,-20.88722222,-22.77555556,-17.88888889,Not Infected
-16.71888889,-21.18611111,-23.31444444,-18.24388889,Not Infected
-12.57666667,-16.66388889,-18.71333333,-14.34055556,Inconclusive
5.939444444,5.835,2.377222222,2.690555556,Infected
5.455,5.567777778,2.353888889,2.678333333,Inconclusive
3.482222222,3.834444444,2.242222222,2.632777778,Not Infected
1.846666667,2.266111111,1.013333333,1.172777778,Not Infected
1.319444444,1.883333333,0.5038888889,0.7516666667,Not Infected
1.605,2.140555555,0.7677777778,1.067222222,Not Infected
2.066666667,2.652777778,1.451666667,1.637222222,Not Infected
1.644444444,2.31,1.031666667,1.195555556,Not Infected
1.542777778,2.301111111,0.955,1.141666667,Not Infected
1.746666667,2.467777778,1.135,1.369444444,Not Infected
1.915,2.698888889,1.448888889,1.653333333,Not Infected
1.872222222,2.585,1.281666667,1.516666667,Not Infected
1.619444444,2.195555556,0.7572222222,1.088333333,Not Infected
1.765555556,2.095555556,0.6772222222,1.025,Not Infected
1.526666667,1.740555556,0.2777777778,0.5805555556,Not Infected
1.213888889,1.435,-0.02888888889,0.165,Not Infected
1.170555556,1.326666667,-0.1738888889,0.2594444444,Not Infected
1.132222222,1.418333333,-0.003888888889,0.1211111111,Not Infected
0.6988888889,1.07,-0.4483333333,-0.1538888889,Not Infected
0.7488888889,1.139444445,-0.3622222222,-0.1188888889,Not Infected
1.2,1.646666667,0.2261111111,0.4683333333,Not Infected
1.435555556,2.025,0.5983333333,0.8838888889,Not Infected
1.476666667,2.063333333,0.3955555556,0.6244444444,Not Infected
1.3,1.928888889,0.2244444445,0.465,Not Infected
0.8311111111,1.440555556,-0.2811111111,-0.05111111111,Not Infected
1.182222222,1.842222222,0.2038888889,0.5038888889,Not Infected
0.3288888889,0.9644444445,-0.8177777777,-0.2761111111,Not Infected
0.2061111111,0.8266666667,-1.003888889,-0.4188888889,Not Infected
0.7361111111,1.375,-0.295,-0.17,Not Infected
0.6788888889,1.205555556,-0.6116666667,-0.4977777778,Not Infected
0.1711111111,0.1794444444,-2.811666667,-2.436111111,Not Infected
0.1227777778,0.2377777778,-2.725,-2.311666667,Not Infected
0.08722222222,0.2722222222,-2.669444444,-2.19,Not Infected
0.03222222222,0.2994444444,-2.648888889,-2.129444444,Not Infected
0.02,0.3194444444,-2.591111111,-2.068888889,Not Infected
0.1838888889,0.5644444444,-2.301111111,-1.698333333,Not Infected
0.4177777778,0.7988888889,-2.078333333,-1.514444445,Not Infected
0.785,1.096666667,-1.829444444,-1.029444444,Not Infected
0.9044444444,1.157777778,-1.752777778,-0.9383333333,Not Infected
1.059444444,1.233888889,-1.641111111,-0.7466666667,Not Infected
1.178888889,1.360555556,-1.442222222,-0.5866666667,Not Infected
NaN,12.81666667,-0.03333333333,13.85,Infected
NaN,11.96666667,-0.08333333333,12.46666667,Infected
NaN,12.18333333,0.4,12.43333333,Infected
NaN,-37.31666667,-43.01666667,-25.03333333,Infected
NaN,-36.91666667,-43.56666667,-25.43333333,Infected
NaN,-59.85,-63.3,-43.11666667,Infected
NaN,12.96666667,0.65,12.96666667,Inconclusive
NaN,12.41666667,0.8,16.51666667,Inconclusive
NaN,11.21666667,2.216666667,12.38333333,Infected
NaN,7.916666667,-0.7333333333,-38.51666667,Not Infected
NaN,7.966666667,-1.183333333,-24.91666667,Not Infected
NaN,8.983333333,-1,14.76666667,Inconclusive
NaN,8.15,-1,14,Inconclusive
NaN,8,-1,14,Infected
NaN,6.866666667,-2.133333333,13.91666667,Infected
NaN,5.1,0.8333333333,-51.53333333,Infected
NaN,2.183333333,-5.633333333,-3.333333333,Not Infected
NaN,3.6,-5.5,2.6,Not Infected
NaN,9.3,-0.5333333333,8.966666667,Not Infected
NaN,9.783333333,-0.1,9.316666667,Inconclusive
NaN,10.36666667,0.2666666667,10.53333333,Not Infected
NaN,10.16666667,0.03333333333,10.96666667,Not Infected
NaN,10.91666667,0.7,11.6,Not Infected
NaN,10.4,0.06666666667,11.08333333,Not Infected
NaN,10.71666667,0.08333333333,11.26666667,Not Infected
NaN,10.71666667,0.3833333333,11.48333333,Not Infected
NaN,11.18333333,0.8,11.8,Infected
NaN,12.46666667,1.833333333,13.48333333,Infected
NaN,13.06666667,2.85,15.08333333,Infected
NaN,12.96666667,2.483333333,15.16666667,Infected
NaN,14,3.333333333,16.23333333,Infected
NaN,14.48333333,3.65,16.7,Inconclusive
NaN,13.01666667,2.916666667,16,Inconclusive
NaN,13.21666667,2.883333333,16,Inconclusive
NaN,13.21666667,2.95,15.88333333,Infected
NaN,12.86666667,2.8,15.66666667,Infected
4.883333333,5,3.066666667,2.25,Infected
4.9,5,3.166666667,2.466666667,Infected
4.75,5,3.2,2.333333333,Infected
4.333333333,5,3.05,2.066666667,Infected
4.05,5,3,2,Infected
4.016666667,5,3.016666667,2,Infected
4.016666667,4.983333333,3,2,Infected
4.066666667,4.983333333,3,2,Infected
4,5,3,2,Infected
4.033333333,5,3,2,Infected
4,4.983333333,3,2,Infected
4,4.983333333,3,2,Infected
4,4.983333333,3,2,Infected
4.066666667,5,3,2,Infected
4,5,3,2,Infected
4,5,3,2,Infected
4,4.983333333,3,2,Infected
4,5,3,2,Infected
4.016666667,5,3,2,Infected
4.066666667,4.966666667,3,2,Infected
4.066666667,5,3,2,Infected
4.4,5,3,2,Infected
4.45,5,3,2.033333333,Infected
4.45,5,3.133333333,2.05,Infected
4.733333333,5,3.1,2.016666667,Infected
4.666666667,5,3.2,2.05,Infected
4.45,5,3.116666667,2.033333333,Infected
4.266666667,5,3.1,2.033333333,Infected
4.116666667,5,3.033333333,2,Infected
4.2,5,3.066666667,2.016666667,Infected
