OptimizedThreshold,UsedThreshold,Accuracy,F1_Clean,F1_Infected,Sensitivity,Specificity,ConfusionMatrix_1,ConfusionMatrix_2,ConfusionMatrix_3,ConfusionMatrix_4,NTrees,MinLeafSize,ScreeningThreshold,NumPredictors,MaxNumSplits
0.61,0.2,0.512022630834512,0.324854552834528,0.604810996563574,0.830188679245283,0.251928020565553,98,54,291,264,50,1,0.2,3,10
0.53,0.2,0.495049504950495,0.271612192434815,0.596610169491525,0.830188679245283,0.22107969151671,86,54,303,264,50,1,0.2,3,20
0.68,0.2,0.475247524752475,0.206498377512748,0.589147286821705,0.836477987421384,0.179948586118252,70,52,319,266,50,1,0.2,3,50
0.7,0.2,0.517680339462518,0.342891042119834,0.607594936708861,0.830188679245283,0.262210796915167,102,54,287,264,50,1,0.2,4,10
0.64,0.2,0.502121640735502,0.293626451555713,0.6,0.830188679245283,0.233933161953728,91,54,298,264,50,1,0.2,4,20
0.69,0.2,0.47949080622348,0.224188437854965,0.589285714285714,0.830188679245283,0.19280205655527,75,54,314,264,50,1,0.2,4,50
0.74,0.2,0.517680339462518,0.342891042119834,0.607594936708861,0.830188679245283,0.262210796915167,102,54,287,264,50,1,0.2,7,10
0.58,0.2,0.509193776520509,0.315886889460154,0.603428571428571,0.830188679245283,0.246786632390745,96,54,293,264,50,1,0.2,7,20
0.67,0.2,0.507779349363508,0.311416297165335,0.602739726027397,0.830188679245283,0.244215938303342,95,54,294,264,50,1,0.2,7,50
0.55,0.3,0.531824611032532,0.393044004234084,0.612865497076023,0.823899371069182,0.29305912596401,114,56,275,262,50,1,0.3,3,10
0.72,0.3,0.512022630834512,0.329576165051743,0.602991944764097,0.823899371069182,0.25706940874036,100,56,289,262,50,1,0.3,3,20
0.59,0.3,0.503536067892503,0.298059654188823,0.600682593856655,0.830188679245283,0.236503856041131,92,54,297,264,50,1,0.3,3,50
0.63,0.3,0.55021216407355,0.442105263157895,0.623222748815166,0.827044025157233,0.323907455012853,126,55,263,263,50,1,0.3,4,10
0.62,0.3,0.54031117397454,0.422893619479507,0.61629279811098,0.820754716981132,0.311053984575835,121,57,268,261,50,1,0.3,4,20
0.87,0.3,0.527581329561528,0.377035132819195,0.611627906976744,0.827044025157233,0.282776349614396,110,55,279,263,50,1,0.3,4,50
0.68,0.3,0.554455445544555,0.452173913043478,0.624553039332539,0.823899371069182,0.334190231362468,130,56,259,262,50,1,0.3,7,10
0.72,0.3,0.543140028288543,0.429912480864215,0.618654073199528,0.823899371069182,0.313624678663239,122,56,267,262,50,1,0.3,7,20
0.76,0.3,0.512022630834512,0.329576165051743,0.602991944764097,0.823899371069182,0.25706940874036,100,56,289,262,50,1,0.3,7,50
0.54,0.4,0.554455445544555,0.457831325301205,0.621848739495798,0.814465408805031,0.341902313624679,133,59,256,259,50,1,0.4,3,10
0.66,0.4,0.667609618104668,0.64339908952959,0.688741721854305,0.817610062893082,0.544987146529563,212,58,177,260,50,1,0.4,3,20
0.61,0.4,0.687411598302687,0.670640834575261,0.702557200538358,0.820754716981132,0.57840616966581,225,57,164,261,50,1,0.4,3,50
0.6,0.4,0.606789250353607,0.553054662379421,0.648989898989899,0.808176100628931,0.442159383033419,172,61,217,257,50,1,0.4,4,10
0.63,0.4,0.562942008486563,0.469982847341338,0.628158844765343,0.820754716981132,0.352185089974293,137,57,252,261,50,1,0.4,4,20
0.51,0.4,0.588401697312588,0.51900826446281,0.640296662546354,0.814465408805031,0.403598971722365,157,59,232,259,50,1,0.4,4,50
0.93,0.4,0.561527581329561,0.467353951890034,0.627403846153846,0.820754716981132,0.349614395886889,136,57,253,261,50,1,0.4,7,10
0.69,0.4,0.56011315417256,0.468376068376068,0.624849215922799,0.814465408805031,0.352185089974293,137,59,252,259,50,1,0.4,7,20
0.75,0.4,0.553041018387553,0.504702194357367,0.592783505154639,0.723270440251572,0.413881748071979,161,88,228,230,50,1,0.4,7,50
0.57,0.5,0.608203677510608,0.563779527559055,0.644415917843389,0.789308176100629,0.460154241645244,179,67,210,251,50,1,0.5,3,10
0.67,0.5,0.743988684582744,0.751031636863824,0.736535662299854,0.79559748427673,0.701799485861183,273,65,116,253,50,1,0.5,3,20
