OptimizedThreshold,UsedThreshold,Accuracy,F1_Clean,F1_Infected,Sensitivity,Specificity,ConfusionMatrix_1,ConfusionMatrix_2,ConfusionMatrix_3,ConfusionMatrix_4,NTrees,MinLeafSize,ScreeningThreshold,NumPredictors,MaxNumSplits
0.52,0.2,0.521923620933522,0.354199073240221,0.610599078341014,0.833333333333333,0.267352185089974,104,53,285,265,50,1,0.2,3,10
0.76,0.2,0.462517680339463,0.176967445075717,0.580573951434879,0.827044025157233,0.16452442159383,64,55,325,263,50,1,0.2,3,20
0.83,0.2,0.468175388967468,0.200912696040334,0.580357142857143,0.817610062893082,0.182519280205656,71,58,318,260,50,1,0.2,3,50
0.52,0.2,0.510608203677511,0.318006935698142,0.605022831050228,0.833333333333333,0.246786632390745,96,53,293,265,50,1,0.2,4,10
0.54,0.2,0.499292786421499,0.284789760368167,0.598639455782313,0.830188679245283,0.22879177377892,89,54,300,264,50,1,0.2,4,20
0.9,0.2,0.476661951909477,0.228322669018445,0.583333333333333,0.814465408805031,0.200514138817481,78,59,311,259,50,1,0.2,4,50
0.68,0.2,0.528995756718529,0.379334127531507,0.613240418118467,0.830188679245283,0.282776349614396,110,54,279,264,50,1,0.2,7,10
0.79,0.2,0.53041018387553,0.388463820142681,0.61214953271028,0.823899371069182,0.290488431876607,113,56,276,262,50,1,0.2,7,20
0.9,0.2,0.523338048090523,0.37030236259028,0.606767794632439,0.817610062893082,0.282776349614396,110,58,279,260,50,1,0.2,7,50
0.54,0.3,0.509193776520509,0.339815514894904,0.594152046783626,0.79874213836478,0.272493573264781,106,64,283,254,50,1,0.3,3,10
0.74,0.3,0.526166902404526,0.379373960381068,0.608187134502924,0.817610062893082,0.287917737789203,112,58,277,260,50,1,0.3,3,20
0.77,0.3,0.506364922206506,0.323748770192643,0.595596755504056,0.808176100628931,0.259640102827764,101,61,288,257,50,1,0.3,3,50
0.57,0.3,0.528995756718529,0.386178738847724,0.610526315789474,0.820754716981132,0.290488431876607,113,57,276,261,50,1,0.3,4,10
