Experiment,Seed,NTrees,MinLeafSize,ScreeningThreshold,NumPredictors,MaxNumSplits,Accuracy,Sensitivity,Specificity,OptimizedThreshold,UsedThreshold,F1_Clean,F1_Infected
1,1,50,1,0.45,3,10,0.7744,0.5523,0.9589,0.71,0.71,0.8228,0.6897
2,1,50,1,0.45,3,20,0.7230,0.5116,0.8986,0.68,0.68,0.7799,0.6263
3,1,50,1,0.45,4,10,0.7704,0.5669,0.9396,0.69,0.69,0.8172,0.6915
4,1,50,1,0.45,4,20,0.7599,0.6250,0.8720,0.67,0.67,0.7987,0.7026
5,1,50,1,0.45,7,10,0.7018,0.7762,0.6401,0.62,0.62,0.7011,0.7026
6,1,50,1,0.45,7,20,0.6623,0.7645,0.5773,0.60,0.60,0.6512,0.6726
7,1,50,1,0.46,3,10,0.7836,0.6250,0.9155,0.67,0.67,0.8221,0.7239
8,1,50,1,0.46,3,20,0.7533,0.7500,0.7560,0.60,0.60,0.7700,0.7340
9,1,50,1,0.46,4,10,0.6953,0.3953,0.9444,0.74,0.74,0.7720,0.5408
10,1,50,1,0.46,4,20,0.7625,0.6017,0.8961,0.72,0.72,0.8048,0.6970
11,1,50,1,0.46,7,10,0.7559,0.5901,0.8937,0.73,0.73,0.8000,0.6870
12,1,50,1,0.46,7,20,0.6821,0.7733,0.6063,0.60,0.60,0.6756,0.6882
13,1,50,1,0.47,3,10,0.7467,0.5349,0.9227,0.70,0.70,0.7992,0.6571
14,1,50,1,0.47,3,20,0.7784,0.7006,0.8430,0.61,0.61,0.8060,0.7415
15,1,50,1,0.47,4,10,0.7573,0.5320,0.9444,0.69,0.69,0.8095,0.6655
16,1,50,1,0.47,4,20,0.7018,0.3808,0.9686,0.80,0.80,0.7802,0.5369
17,1,50,1,0.47,7,10,0.7269,0.7529,0.7053,0.62,0.62,0.7383,0.7145
18,1,50,1,0.47,7,20,0.6675,0.7674,0.5845,0.61,0.61,0.6576,0.6769
19,1,50,1,0.48,3,10,0.7546,0.6279,0.8599,0.61,0.61,0.7929,0.6990
20,1,50,1,0.48,3,20,0.7678,0.6221,0.8889,0.67,0.67,0.8070,0.7086
21,1,50,1,0.48,4,10,0.7665,0.6134,0.8937,0.68,0.68,0.8070,0.7045
22,1,50,1,0.48,4,20,0.7296,0.4797,0.9372,0.78,0.78,0.7910,0.6168
23,1,50,1,0.48,7,10,0.7045,0.7442,0.6715,0.67,0.67,0.7128,0.6957
24,1,50,1,0.48,7,20,0.6755,0.7587,0.6063,0.66,0.66,0.6711,0.6797
25,1,50,1,0.49,3,10,0.7599,0.5698,0.9179,0.68,0.68,0.8068,0.6829
26,1,50,1,0.49,3,20,0.7507,0.5785,0.8937,0.71,0.71,0.7966,0.6780
27,1,50,1,0.49,4,10,0.7005,0.7733,0.6401,0.60,0.60,0.7001,0.7009
28,1,50,1,0.49,4,20,0.6781,0.7093,0.6522,0.63,0.63,0.6888,0.6667
29,1,50,1,0.49,7,10,0.7045,0.7645,0.6546,0.62,0.62,0.7076,0.7013
30,1,50,1,0.49,7,20,0.6953,0.7122,0.6812,0.70,0.70,0.7094,0.6796
31,1,50,1,0.50,3,10,0.7823,0.7209,0.8333,0.59,0.59,0.8070,0.7504
32,1,50,1,0.50,3,20,0.7454,0.6744,0.8043,0.68,0.68,0.7753,0.7062
33,1,50,1,0.50,4,10,0.7005,0.7413,0.6667,0.62,0.62,0.7086,0.6920
34,1,50,1,0.50,4,20,0.6794,0.7180,0.6473,0.65,0.65,0.6881,0.6703
35,1,50,1,0.50,7,10,0.7137,0.7442,0.6884,0.65,0.65,0.7243,0.7023
36,1,50,1,0.50,7,20,0.6913,0.7267,0.6618,0.73,0.73,0.7008,0.6812
37,2,50,1,0.45,3,10,0.7335,0.5872,0.8551,0.66,0.66,0.7780,0.6667
38,2,50,1,0.45,3,20,0.7454,0.6831,0.7971,0.68,0.68,0.7737,0.7089
39,2,50,1,0.45,4,10,0.6821,0.7733,0.6063,0.56,0.56,0.6756,0.6882
40,2,50,1,0.45,4,20,0.7282,0.4622,0.9493,0.76,0.76,0.7923,0.6069
41,2,50,1,0.45,7,10,0.7401,0.5930,0.8623,0.72,0.72,0.7838,0.6744
42,2,50,1,0.45,7,20,0.6715,0.6860,0.6594,0.66,0.66,0.6868,0.6546
43,2,50,1,0.46,3,10,0.7599,0.7035,0.8068,0.63,0.63,0.7859,0.7267
44,2,50,1,0.46,3,20,0.7982,0.6773,0.8986,0.70,0.70,0.8294,0.7528
45,2,50,1,0.46,4,10,0.7256,0.4622,0.9444,0.71,0.71,0.7899,0.6046
46,2,50,1,0.46,4,20,0.7533,0.6890,0.8068,0.70,0.70,0.7813,0.7171
47,2,50,1,0.46,7,10,0.7137,0.7616,0.6739,0.67,0.67,0.7200,0.7072
48,2,50,1,0.46,7,20,0.6953,0.6337,0.7464,0.72,0.72,0.7279,0.6537
49,2,50,1,0.47,3,10,0.7625,0.5959,0.9010,0.61,0.61,0.8056,0.6949
